Secondary Structure(Strands),Secondary Structure(Coil),Solvent Accesibilty(Exposed),[Class]
0.306,0.231,0.233,DNA
0.236,0.424,0.313,DNA
0.136,0.357,0.272,DNA
0.24,0.337,0.319,DNA
0.227,0.271,0.32,DNA
0.266,0.285,0.321,DNA
0.245,0.338,0.338,DNA
0.223,0.335,0.345,DNA
0.21,0.242,0.373,DNA
0.222,0.264,0.417,DNA
0.249,0.364,0.319,DNA
0.229,0.312,0.302,DNA
0.295,0.192,0.256,DNA
0.233,0.309,0.349,DNA
0.143,0.265,0.469,DNA
0.244,0.294,0.372,DNA
0.238,0.238,0.381,DNA
0.292,0.293,0.302,DNA
0.248,0.376,0.279,DNA
0.211,0.242,0.25,DNA
0.219,0.25,0.25,DNA
0.209,0.214,0.311,DNA
0.256,0.361,0.375,DNA
0.322,0.268,0.346,DNA
0.25,0.313,0.384,DNA
0.228,0.252,0.37,DNA
0.299,0.347,0.34,DNA
0.14,0.262,0.299,DNA
0.258,0.263,0.317,DNA
0.185,0.358,0.414,DNA
0.292,0.341,0.332,DNA
0.296,0.356,0.348,DNA
0.227,0.36,0.279,DNA
0.167,0.306,0.319,DNA
0.187,0.392,0.342,DNA
0.194,0.264,0.417,DNA
0.228,0.342,0.291,DNA
0.27,0.3,0.331,DNA
0.27,0.209,0.195,DNA
0.275,0.245,0.306,DNA
0.233,0.313,0.381,DNA
0.213,0.199,0.301,DNA
0.235,0.169,0.287,DNA
0.228,0.176,0.287,DNA
0.228,0.184,0.287,DNA
0.237,0.185,0.281,DNA
0.243,0.154,0.294,DNA
0.239,0.21,0.343,DNA
0.232,0.336,0.348,DNA
0.27,0.303,0.322,DNA
0.258,0.338,0.331,DNA
0.308,0.256,0.282,DNA
0.188,0.25,0.398,DNA
0.279,0.248,0.345,DNA
0.231,0.256,0.256,DNA
0.242,0.272,0.335,DNA
0.318,0.284,0.356,DNA
0.27,0.249,0.287,DNA
0.236,0.269,0.405,DNA
0.429,0.271,0.241,DNA
0.318,0.253,0.293,DNA
0.262,0.262,0.397,DNA
0.212,0.328,0.316,DNA
0.318,0.253,0.384,DNA
0.216,0.349,0.402,DNA
0.237,0.34,0.396,DNA
0.204,0.292,0.405,DNA
0.286,0.31,0.328,DNA
0.207,0.312,0.398,DNA
0.26,0.278,0.371,DNA
0.266,0.384,0.302,DNA
0.315,0.275,0.354,DNA
0.204,0.384,0.352,DNA
0.207,0.346,0.297,DNA
0.274,0.339,0.296,DNA
0.22,0.273,0.292,DNA
0.255,0.257,0.322,DNA
0.284,0.249,0.291,DNA
0.176,0.328,0.282,DNA
0.219,0.251,0.233,DNA
0.246,0.315,0.339,DNA
0.239,0.39,0.376,DNA
0.236,0.327,0.307,DNA
0.282,0.305,0.344,DNA
