ID,z1,z2,z3,z4,z5
Seq_1,0.058,-0.746,-0.184,-0.448,0.159
Seq_2,0.16,-0.202,-0.114,-0.316,-0.063
Seq_3,0.077,-0.436,-0.266,-0.422,0.197
Seq_4,-0.007,-0.408,-0.164,-0.473,-0.044
Seq_5,0.088,-0.713,-0.206,-0.36,0.135
Seq_6,0.394,-0.846,-0.506,-0.296,0.151
Seq_7,0.147,-0.553,-0.313,-0.364,0.11
Seq_8,0.032,-0.354,-0.422,-0.272,0.064
Seq_9,0.013,-0.598,-0.489,-0.517,0.133
Seq_10,0.245,-0.482,-0.154,-0.373,0.252
Seq_11,0.212,-0.586,-0.073,-0.358,-0.008
Seq_12,0.282,-0.601,0.348,-0.479,-0.106
Seq_13,-0.123,-0.566,-0.202,-0.27,0.143
Seq_14,0.401,-0.26,-0.38,0.354,-0.01
Seq_15,0.18,-0.513,-0.131,-0.302,0.151
Seq_16,0.372,-0.254,-0.586,-0.177,0.148
Seq_17,0.164,-0.403,-0.157,-0.397,0.122
Seq_18,0.434,-0.033,-0.744,0.064,0.039
Seq_19,0.056,-0.782,-0.08,-0.297,0.247
Seq_20,0.248,-0.428,-0.486,-0.372,0.189
Seq_21,-0.022,-0.298,-0.17,-0.296,0.053
Seq_22,-0.195,-0.324,-0.484,-0.46,0.116
Seq_23,0.175,-0.87,-0.335,-0.577,0.283
Seq_24,0.05,-0.686,-0.327,-0.421,0.196
Seq_25,-0.052,-0.167,-0.22,-0.305,0.078
Seq_26,-0.123,-0.194,-0.281,-0.281,0.098
Seq_27,-0.128,-0.765,-0.121,-0.448,0.331
Seq_28,0.267,-0.458,-0.16,-0.339,-0.036
Seq_29,-0.075,-0.424,-0.351,-0.375,0.114
Seq_30,-0.122,-0.424,-0.276,-0.307,0.003
Seq_31,-0.099,-0.189,-0.388,-0.379,0.116
Seq_32,0.063,-0.327,-0.265,-0.47,0.114
Seq_33,0.282,-0.549,-0.238,-0.427,0.18
Seq_34,0.572,-0.25,-0.182,-0.423,0.285
Seq_35,-0.168,-0.356,-0.403,-0.529,0.17
Seq_36,0.091,-0.404,-0.553,-0.465,0.214
Seq_37,0.539,-0.318,-0.285,-0.352,0.341
Seq_38,0.065,-0.99,-0.487,-0.449,0.227
Seq_39,-0.22,-0.915,-0.27,-0.434,0.289
Seq_40,0.049,-0.283,-0.274,-0.354,0.159
Seq_41,0.324,-0.53,-0.449,-0.513,0.127
Seq_42,0.202,-0.254,-0.178,-0.193,0.125
Seq_43,0.119,-0.419,-0.35,-0.372,0.145
Seq_44,0.208,-0.641,-0.073,-0.524,-0.098
Seq_45,0.075,-0.305,-0.517,-0.475,0.201
Seq_46,-0.016,-0.437,-0.192,-0.382,0.088
Seq_47,0.289,-0.468,-0.306,-0.409,0.175
Seq_48,0.043,-0.462,-0.572,-0.463,0.105
Seq_49,0.399,-0.712,-0.429,-0.663,0.227
Seq_50,0.097,-0.325,-0.18,-0.495,0.098
Seq_51,0.195,-0.401,-0.044,-0.221,0.388
Seq_52,0.119,-0.41,-0.33,-0.251,0.168
Seq_53,-1.167,-0.264,-0.054,-0.278,0.172
Seq_54,0.156,-0.282,-0.167,-0.375,0.094
Seq_55,0.33,-0.471,-0.462,-0.53,0.17
Seq_56,0.098,-0.31,-0.264,-0.439,0.146
Seq_57,0.168,-0.872,-0.327,-0.55,0.106
Seq_58,0.174,-0.549,-0.368,-0.445,0.037
Seq_59,0.049,-0.113,-0.188,-0.398,-0.053
Seq_60,0.838,-0.118,-0.863,0.341,-0.143
Seq_61,0.319,-0.409,-0.41,-0.462,0.106
Seq_62,0.004,-0.387,-0.39,-0.419,0.237
Seq_63,0.249,-0.691,-0.272,-0.5,0.074
Seq_64,0.17,-0.593,-0.275,-0.493,0.156
Seq_65,0.19,-0.715,-0.322,-0.459,0.073
Seq_66,0.346,-0.538,-0.158,-0.39,0.15
Seq_67,0.016,-0.96,-0.225,-0.539,0.191
Seq_68,0.544,-0.641,-0.237,-0.383,0.087
Seq_69,0.012,-0.436,-0.286,-0.331,0.148
Seq_70,0.083,-0.376,-0.15,-0.39,0.187
Seq_71,-0.063,-0.487,-0.091,-0.307,0.288
