Secondary Structure(Helix),Solvent Accessibilty (Buried),Solvent Accesibilty(Intermediate),[G4.3.22.3],[G7.1.1.50],[G5.2.2.12],[G4.3.10.4],[G2.1.1.169],[G4.3.11.2],[G2.1.1.339],[G2.1.1.211],[G2.1.1.178],[Class]
0.462,0.362,0.302,3.75,0.007433,0.001314,23.75,0,7.5,0,0,0,DNA
0.34,0.319,0.456,2.5,-0.001588,7.19E-04,26.25,0,8.75,0,1.265823,0,DNA
0.507,0.45,0.3,2.5,2.29E-04,8.88E-04,21.25,1.265823,5,0,0,0,DNA
0.423,0.463,0.265,2.5,0.016212,0.001799,22.5,1.265823,6.25,0,0,1.265823,DNA
0.502,0.463,0.225,2.5,9.02E-04,0,25,0,10,0,0,0,DNA
0.449,0.349,0.295,2.5,0.002493,0.003035,15,2.531646,8.75,0,0,1.265823,DNA
0.417,0.376,0.305,2.5,0.013567,8.28E-04,15,0,5,0,0,1.265823,DNA
0.442,0.358,0.289,2.5,-8.31E-04,3.31E-04,31.25,0,5,0,0,0,DNA
0.547,0.41,0.185,2.5,-0.004856,0.005955,25,2.531646,5,0,0,0,DNA
0.514,0.403,0.167,2.777778,-0.011048,0.003201,29.166667,0,4.166667,1.408451,0,0,DNA
0.387,0.377,0.316,2.5,0.006518,0.00124,36.25,0,3.75,0,0,0,DNA
0.459,0.403,0.283,2.5,0.010077,0.002022,23.75,1.265823,3.75,0,0,0,DNA
0.513,0.474,0.186,2.5,0.021496,0.001111,20,0,3.75,0,0,1.265823,DNA
0.458,0.402,0.253,2.5,0.005585,0.001273,22.5,0,3.75,0,0,1.265823,DNA
0.592,0.321,0.255,2.5,0.003464,0.003926,17.5,1.265823,3.75,0,0,1.265823,DNA
0.463,0.395,0.244,2.5,0.004091,0.001728,18.75,1.265823,3.75,0,0,2.531646,DNA
0.524,0.352,0.257,2.5,-0.004345,0.002156,22.5,2.531646,3.75,0,0,1.265823,DNA
0.415,0.426,0.263,2.5,2.64E-04,0.001134,12.5,0,7.5,0,0,1.265823,DNA
0.376,0.448,0.242,2.5,4.61E-04,2.94E-04,18.75,0,5,0,0,0,DNA
0.547,0.484,0.219,2.5,0.013409,0.003169,16.25,0,11.25,0,0,1.265823,DNA
0.531,0.477,0.227,2.5,0.012642,0.003126,16.25,0,11.25,0,0,1.265823,DNA
0.577,0.434,0.168,2.5,0.001308,0.001908,20,1.265823,13.75,0,0,0,DNA
0.384,0.374,0.302,2.5,7.34E-04,5.98E-04,13.75,0,5,0,0,0,DNA
0.409,0.379,0.268,2.5,-0.004993,0.001229,13.75,0,5,0,0,0,DNA
0.436,0.335,0.262,2.5,0.001757,0.002772,23.75,0,6.25,0,0,0,DNA
0.52,0.37,0.22,2.5,-0.004971,0.002123,27.5,0,8.75,0,0,1.265823,DNA
0.354,0.388,0.32,2.5,-0.007369,0.001179,18.75,0,11.25,0,0,1.265823,DNA
0.598,0.439,0.196,2.5,0.010019,0.002734,22.5,0,8.75,0,0,2.531646,DNA
0.479,0.433,0.225,2.5,-0.004268,0.001098,17.5,1.265823,5,0,0,0,DNA
0.457,0.364,0.235,2.5,-0.004026,0.003594,15,3.797468,7.5,0,0,0,DNA
0.368,0.384,0.316,2.5,0.003878,0.002716,12.5,0,15,0,0,0,DNA
0.348,0.391,0.301,2.5,0.007261,0.00215,13.75,0,21.25,0,0,0,DNA
0.413,0.435,0.299,2.5,0.002989,8.13E-04,23.75,1.265823,10,0,0,1.265823,DNA
0.528,0.417,0.208,2.777778,0.005094,8.27E-04,31.944444,0,6.944444,0,0,0,DNA
0.421,0.358,0.365,2.5,-0.003279,7.41E-04,22.5,0,6.25,0,0,0,DNA
0.542,0.389,0.194,2.777778,-0.003316,0.002146,6.944444,0,18.055556,0,0,1.408451,DNA
0.43,0.43,0.253,2.531646,0.009825,6.16E-04,10.126582,0,6.329114,0,0,0,DNA
0.429,0.361,0.292,2.5,0.002746,0.006007,17.5,3.797468,10,0,0,1.265823,DNA
0.521,0.484,0.242,2.5,0.004863,9.66E-04,20,0,10,0,0,0,DNA
0.48,0.402,0.258,2.5,-0.001764,5.46E-04,15,0,11.25,0,0,0,DNA
0.454,0.346,0.307,2.5,6.24E-04,0.001963,35,1.265823,10,0,0,1.265823,DNA
0.588,0.397,0.213,2.5,0.001111,0.004509,16.25,1.265823,5,0,0,0,DNA
0.596,0.412,0.213,2.5,0.004254,0.004298,17.5,1.265823,5,0,0,0,DNA
0.596,0.404,0.221,2.5,0.004254,0.004298,17.5,1.265823,5,0,0,0,DNA
0.588,0.412,0.213,2.5,0.003616,0.00425,17.5,1.265823,5,0,0,0,DNA
0.578,0.407,0.222,2.5,0.00877,0.003217,16.25,0,5,0,0,0,DNA
0.603,0.412,0.206,2.5,0.004313,0.004303,17.5,2.531646,5,0,0,0,DNA
0.55,0.417,0.217,2.5,0.001453,0.001335,16.25,1.265823,5,0,0,0,DNA
0.432,0.399,0.275,2.5,-3.10E-05,0,16.25,0,3.75,0,0,0,DNA
0.427,0.438,0.246,2.5,-0.003123,5.78E-04,21.25,0,3.75,0,0,0,DNA
0.405,0.381,0.331,2.5,0.002953,0,15,0,3.75,0,0,0,DNA
0.436,0.462,0.231,2.564103,-0.010322,0.001846,26.923077,1.298701,3.846154,0,0,0,DNA
0.562,0.398,0.182,2.5,0.001905,0.001308,21.25,1.265823,3.75,0,0,0,DNA
0.473,0.404,0.24,2.5,-7.32E-04,0.002659,36.25,3.797468,3.75,0,0,2.531646,DNA
0.513,0.474,0.167,2.564103,0.002279,6.77E-04,25.641026,0,3.846154,0,0,0,DNA
0.487,0.449,0.25,2.5,-4.10E-05,0.002936,21.25,1.265823,3.75,0,0,0,DNA
0.398,0.407,0.244,2.5,0.003735,9.04E-04,12.5,0,3.75,0,0,0,DNA
0.481,0.437,0.249,2.5,0.003183,0.00205,18.75,0,3.75,0,0,1.265823,DNA
0.494,0.365,0.213,2.5,0.001318,0.002633,21.25,3.797468,3.75,0,0,0,DNA
0.301,0.451,0.308,3.75,-0.001646,0.001049,32.5,0,6.25,0,0,0,DNA
0.429,0.444,0.247,2.5,0.014394,0.001545,38.75,0,2.5,0,0,0,DNA
0.476,0.333,0.23,2.5,-0.002524,0.002121,17.5,1.265823,2.5,0,0,1.265823,DNA
0.46,0.377,0.293,2.5,0.009525,9.60E-04,26.25,0,2.5,0,0,0,DNA
0.428,0.414,0.182,2.5,0.005249,0.001507,30,1.265823,2.5,0,0,1.265823,DNA
0.435,0.331,0.351,2.5,-4.80E-05,8.34E-04,22.5,0,2.5,0,0,0,DNA
0.423,0.304,0.352,2.5,-0.00131,9.01E-04,23.75,0,2.5,1.265823,0,0,DNA
0.503,0.345,0.28,2.5,-0.001705,0.002335,35,0,2.5,0,0,0,DNA
0.404,0.388,0.298,2.5,-0.008464,0.001879,26.25,0,2.5,0,0,1.265823,DNA
0.481,0.326,0.276,2.5,0.002125,0.006394,25,6.329114,2.5,0,0,1.265823,DNA
