,AA,AC,AD,AE,AF,AG,AH,AI,AK,AL,AM,AN,AP,AQ,AR,AS,AT,AV,AW,AY,CC,CD,CE,CF,CG,CH,CI,CK,CL,CM,CN,CP,CQ,CR,CS,CT,CV,CW,CY,DD,DE,DF,DG,DH,DI,DK,DL,DM,DN,DP,DQ,DR,DS,DT,DV,DW,DY,EE,EF,EG,EH,EI,EK,EL,EM,EN,EP,EQ,ER,ES,ET,EV,EW,EY,FF,FG,FH,FI,FK,FL,FM,FN,FP,FQ,FR,FS,FT,FV,FW,FY,GG,GH,GI,GK,GL,GM,GN,GP,GQ,GR,GS,GT,GV,GW,GY,HH,HI,HK,HL,HM,HN,HP,HQ,HR,HS,HT,HV,HW,HY,II,IK,IL,IM,IN,IP,IQ,IR,IS,IT,IV,IW,IY,KK,KL,KM,KN,KP,KQ,KR,KS,KT,KV,KW,KY,LL,LM,LN,LP,LQ,LR,LS,LT,LV,LW,LY,MM,MN,MP,MQ,MR,MS,MT,MV,MW,MY,NN,NP,NQ,NR,NS,NT,NV,NW,NY,PP,PQ,PR,PS,PT,PV,PW,PY,QQ,QR,QS,QT,QV,QW,QY,RR,RS,RT,RV,RW,RY,SS,ST,SV,SW,SY,TT,TV,TW,TY,VV,VW,VY,WW,WY,YY,Label
0,2,0,1,0,0,1,1,1,0,1,1,0,1,1,2,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,2,1,0,0,0,1,3,1,0,0,0,0,1,1,1,1,0,1,3,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,2,0,1,0,2,1,0,2,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,RNA
1,3,1,2,2,2,1,2,0,2,4,0,2,3,1,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,2,2,0,2,3,4,0,0,5,2,1,2,0,1,0,1,1,0,5,0,2,2,3,0,0,4,2,1,1,1,1,0,1,0,2,0,0,1,1,0,0,0,0,1,3,3,1,1,3,4,1,0,6,4,2,0,6,0,0,2,2,2,1,0,1,0,0,1,1,0,1,0,0,2,0,0,1,1,3,2,2,1,2,1,2,2,3,0,1,0,1,2,7,0,2,4,0,1,0,5,0,1,1,4,3,1,3,1,2,5,3,3,1,0,0,2,0,0,3,1,1,1,0,1,0,0,0,0,2,0,1,0,0,3,0,3,6,1,1,0,0,2,2,1,1,2,1,0,1,1,1,2,2,1,4,5,2,0,0,2,1,1,2,2,0,1,0,0,0,RNA
2,0,0,0,0,1,2,0,4,2,0,0,0,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,2,1,1,0,2,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,1,1,0,3,0,0,1,2,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,RNA
3,4,1,0,0,1,4,0,0,1,2,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,3,0,3,0,1,2,3,0,1,1,0,4,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,1,4,1,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,6,0,1,1,0,1,1,1,1,1,1,5,0,1,2,1,6,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,3,0,1,0,0,0,1,1,1,1,0,0,0,2,2,0,2,1,1,1,1,4,0,0,0,4,0,0,2,0,2,1,0,0,RNA
4,2,1,0,1,0,1,0,0,2,5,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,6,0,0,0,0,0,3,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,2,1,0,1,0,1,4,5,0,3,0,0,7,0,1,3,1,3,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,2,1,0,1,0,1,3,1,0,0,0,1,0,0,0,2,0,0,0,1,0,RNA
5,1,0,0,2,0,0,1,0,3,3,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,2,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,1,1,2,0,1,0,0,1,2,1,0,2,0,1,2,3,1,1,0,0,1,0,1,1,1,1,2,0,0,2,0,2,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,2,3,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,1,0,RNA
6,4,0,4,1,1,5,0,3,3,5,0,0,2,1,2,3,2,5,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,2,1,0,1,2,1,1,2,0,2,0,1,0,1,1,1,0,3,1,2,0,0,1,1,0,0,1,1,3,0,3,2,1,0,1,0,0,0,1,2,0,1,1,1,2,0,1,0,0,0,1,0,2,2,5,1,3,5,1,6,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,2,1,3,1,0,0,0,1,0,2,2,1,1,1,2,2,2,1,0,1,9,2,0,3,0,0,0,1,3,2,1,2,2,3,1,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,1,2,0,0,1,1,1,2,1,0,0,0,3,2,0,2,0,0,1,2,5,2,1,0,1,1,1,3,1,1,1,0,0,1,2,1,0,0,0,0,RNA
7,6,0,0,4,0,1,0,2,2,0,0,3,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,1,1,3,1,1,0,0,1,0,2,0,2,3,1,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,1,1,0,0,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,4,1,2,1,0,1,0,0,0,1,4,0,0,1,2,3,2,1,2,0,1,2,0,0,0,1,1,3,2,3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,2,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,1,RNA
8,3,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,3,0,0,2,0,0,1,1,0,1,1,0,3,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RNA
9,2,0,1,3,0,0,0,2,3,0,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,3,1,1,0,0,1,0,1,1,0,2,0,0,1,1,0,0,2,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,1,3,0,1,0,0,3,2,4,0,0,0,1,1,1,1,2,1,0,0,0,2,0,0,2,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2,0,2,0,0,0,0,1,0,1,3,0,0,0,1,0,1,0,1,0,RNA
